03.MMHAP34FRA.seq	DNA segment, 03.MMHAP34FRA.seq
14c5T7	DNA segment, 14c5T7
1500002C15Rik	RIKEN cDNA 1500002C15 gene
1500002F19Rik	RIKEN cDNA 1500002F19 gene
1500002I01Rik	RIKEN cDNA 1500002I01 gene
1500002J14Rik	RIKEN cDNA 1500002J14 gene
1500002K03Rik	RIKEN cDNA 1500002K03 gene
1500004A13Rik	RIKEN cDNA 1500004A13 gene
1500004F05Rik	RIKEN cDNA 1500004F05 gene
1500005C15Rik	RIKEN cDNA 1500005C15 gene
1500006G06Rik	RIKEN cDNA 1500006G06 gene
1500009C09Rik	RIKEN cDNA 1500009C09 gene
1500009L16Rik	RIKEN cDNA 1500009L16 gene
1500010C09Rik	RIKEN cDNA 1500010C09 gene
1500011B03Rik	RIKEN cDNA 1500011B03 gene
1500011K16Rik	RIKEN cDNA 1500011K16 gene
1500012K07Rik	RIKEN cDNA 1500012K07 gene
1500015A07Rik	RIKEN cDNA 1500015A07 gene
1500015L24Rik	RIKEN cDNA 1500015L24 gene
1500015O10Rik	RIKEN cDNA 1500015O10 gene
1500026H17Rik	RIKEN cDNA 1500026H17 gene
1500032F14Rik	RIKEN cDNA 1500032F14 gene
1500032P08Rik	RIKEN cDNA 1500032P08 gene
1500035N22Rik	RIKEN cDNA 1500035N22 gene
1500037F05Rik	RIKEN cDNA 1500037F05 gene
1520401A03Rik	RIKEN cDNA 1520401A03 gene
1520401O13Rik	RIKEN cDNA 1520401O13 gene
156l3T7	DNA segment, 156l3T7
15S	DNA segment, 15S
15T	DNA segment, 15T
16.MMHAP64FLF1.seq	DNA segment, 16.MMHAP64FLF1.seq
1600002D24Rik	RIKEN cDNA 1600002D24 gene
1600002K03Rik	RIKEN cDNA 1600002K03 gene
1600010F14Rik	RIKEN cDNA 1600010F14 gene
1600010M07Rik	RIKEN cDNA 1600010M07 gene
1600012H06Rik	RIKEN cDNA 1600012H06 gene
1600012P17Rik	RIKEN cDNA 1600012P17 gene
1600014C10Rik	RIKEN cDNA 1600014C10 gene
1600014C23Rik	RIKEN cDNA 1600014C23 gene
1600015H23Rik	RIKEN cDNA 1600015H23 gene
1600015I10Rik	RIKEN cDNA 1600015I10 gene
1600017G08Rik	RIKEN cDNA 1600017G08 gene
1600017P15Rik	RIKEN cDNA 1600017P15 gene
1600019K03Rik	RIKEN cDNA 1600019K03 gene
1600020E01Rik	RIKEN cDNA 1600020E01 gene
1600022D10Rik	RIKEN cDNA 1600022D10 gene
1600023N17Rik	RIKEN cDNA 1600023N17 gene
1600025M17Rik	RIKEN cDNA 1600025M17 gene
1600027J07Rik	RIKEN cDNA 1600027J07 gene
1600029I14Rik	RIKEN cDNA 1600029I14 gene
1600029O15Rik	RIKEN cDNA 1600029O15 gene
162c8A2	DNA segment, 162c8A2
167L17-T7	DNA segment, 167L17-T7
167c5-T7	DNA segment, 167c5-T7
16S	DNA segment, 16S
16T	DNA segment, 16T
1700001A13Rik	RIKEN cDNA 1700001A13 gene
1700001C02Rik	RIKEN cDNA 1700001C02 gene
1700001C07Rik	RIKEN cDNA 1700001C07 gene
1700001C19Rik	RIKEN cDNA 1700001C19 gene
1700001D01Rik	RIKEN cDNA 1700001D01 gene
1700001F09Rik	RIKEN cDNA 1700001F09 gene
1700001G01Rik	RIKEN cDNA 1700001G01 gene
1700001G11Rik	RIKEN cDNA 1700001G11 gene
1700001G17Rik	RIKEN cDNA 1700001G17 gene
1700001I21Rik	RIKEN cDNA 1700001I21 gene
1700001J03Rik	RIKEN cDNA 1700001J03 gene
1700001J04Rik	RIKEN cDNA 1700001J04 gene
1700001J11Rik	RIKEN cDNA 1700001J11 gene
1700001K19Rik	RIKEN cDNA 1700001K19 gene
1700001K23Rik	RIKEN cDNA 1700001K23 gene
1700001L05Rik	RIKEN cDNA 1700001L05 gene
1700001L19Rik	RIKEN cDNA 1700001L19 gene
1700001N15Rik	RIKEN cDNA 1700001N15 gene
1700001O22Rik	RIKEN cDNA 1700001O22 gene
1700001P01Rik	RIKEN cDNA 1700001P01 gene
1700003C15Rik	RIKEN cDNA 1700003C15 gene
1700003D09Rik	RIKEN cDNA 1700003D09 gene
1700003E16Rik	RIKEN cDNA 1700003E16 gene
1700003E24Rik	RIKEN cDNA 1700003E24 gene
1700003F12Rik	RIKEN cDNA 1700003F12 gene
1700003G13Rik	RIKEN cDNA 1700003G13 gene
1700003G18Rik	RIKEN cDNA 1700003G18 gene
1700003H04Rik	RIKEN cDNA 1700003H04 gene
1700003I16Rik	RIKEN cDNA 1700003I16 gene
1700003I22Rik	RIKEN cDNA 1700003I22 gene
1700003K11Rik	RIKEN cDNA 1700003K11 gene
1700003L19Rik	RIKEN cDNA 1700003L19 gene
1700003M07Rik	RIKEN cDNA 1700003M07 gene
1700003O08Rik	RIKEN cDNA 1700003O08 gene
1700003O11Rik	RIKEN cDNA 1700003O11 gene
1700003P14Rik	RIKEN cDNA 1700003P14 gene
1700006A11Rik	RIKEN cDNA 1700006A11 gene
1700006E09Rik	RIKEN cDNA 1700006E09 gene
1700006F04Rik	RIKEN cDNA 1700006F04 gene
1700006H20Rik	RIKEN cDNA 1700006H20 gene
1700006H21Rik	RIKEN cDNA 1700006H21 gene
1700006J14Rik	RIKEN cDNA 1700006J14 gene
1700006P03Rik	RIKEN cDNA 1700006P03 gene
1700007A02Rik	RIKEN cDNA 1700007A02 gene
1700007E05Rik	RIKEN cDNA 1700007E05 gene
1700007F19Rik	RIKEN cDNA 1700007F19 gene
1700007G11Rik	RIKEN cDNA 1700007G11 gene
1700007H22Rik	RIKEN cDNA 1700007H22 gene
1700007J10Rik	RIKEN cDNA 1700007J10 gene
1700007J24Rik	RIKEN cDNA 1700007J24 gene
1700007K09Rik	RIKEN cDNA 1700007K09 gene
1700007K13Rik	RIKEN cDNA 1700007K13 gene
1700007L15Rik	RIKEN cDNA 1700007L15 gene
1700007M16Rik	RIKEN cDNA 1700007M16 gene
1700007P06Rik	RIKEN cDNA 1700007P06 gene
1700008A07Rik	RIKEN cDNA 1700008A07 gene
1700008A23Rik	RIKEN cDNA 1700008A23 gene
1700008B11Rik	RIKEN cDNA 1700008B11 gene
1700008B15Rik	RIKEN cDNA 1700008B15 gene
1700008C04Rik	RIKEN cDNA 1700008C04 gene
1700008F19Rik	RIKEN cDNA 1700008F19 gene
1700008H02Rik	RIKEN cDNA 1700008H02 gene
1700008J07Rik	RIKEN cDNA 1700008J07 gene
1700008K24Rik	RIKEN cDNA 1700008K24 gene
1700008N11Rik	RIKEN cDNA 1700008N11 gene
1700008N17Rik	RIKEN cDNA 1700008N17 gene
1700008O03Rik	RIKEN cDNA 1700008O03 gene
1700008O09Rik	RIKEN cDNA 1700008O09 gene
1700008P02Rik	RIKEN cDNA 1700008P02 gene
1700009C05Rik	RIKEN cDNA 1700009C05 gene
1700009J07Rik	RIKEN cDNA 1700009J07 gene
1700009N14Rik	RIKEN cDNA 1700009N14 gene
1700010B08Rik	RIKEN cDNA 1700010B08 gene
1700010B09Rik	RIKEN cDNA 1700010B09 gene
1700010B13Rik	RIKEN cDNA 1700010B13 gene
1700010D01Rik	RIKEN cDNA 1700010D01 gene
1700010G06Rik	RIKEN cDNA 1700010G06 gene
1700010H22Rik	RIKEN cDNA 1700010H22 gene
1700010I02Rik	RIKEN cDNA 1700010I02 gene
1700010I14Rik	RIKEN cDNA 1700010I14 gene
1700010J16Rik	RIKEN cDNA 1700010J16 gene
1700010K23Rik	RIKEN cDNA 1700010K23 gene
1700010K24Rik	RIKEN cDNA 1700010K24 gene
1700010L04Rik	RIKEN cDNA 1700010L04 gene
1700010L13Rik	RIKEN cDNA 1700010L13 gene
1700011B04Rik	RIKEN cDNA 1700011B04 gene
1700011C11Rik	RIKEN cDNA 1700011C11 gene
1700011D18Rik	RIKEN cDNA 1700011D18 gene
1700011H14Rik	RIKEN cDNA 1700011H14 gene
1700011I03Rik	RIKEN cDNA 1700011I03 gene
1700011L03Rik	RIKEN cDNA 1700011L03 gene
1700011L22Rik	RIKEN cDNA 1700011L22 gene
1700011M02Rik	RIKEN cDNA 1700011M02 gene
1700012A03Rik	RIKEN cDNA 1700012A03 gene
1700012B07Rik	RIKEN cDNA 1700012B07 gene
1700012B09Rik	RIKEN cDNA 1700012B09 gene
1700012C08Rik	RIKEN cDNA 1700012C08 gene
1700012C14Rik	RIKEN cDNA 1700012C14 gene
1700012D01Rik	RIKEN cDNA 1700012D01 gene
1700012D14Rik	RIKEN cDNA 1700012D14 gene
1700012D16Rik	RIKEN cDNA 1700012D16 gene
1700012E03Rik	RIKEN cDNA 1700012E03 gene
1700012H19Rik	RIKEN cDNA 1700012H19 gene
1700012I11Rik	RIKEN cDNA 1700012I11 gene
1700012J15Rik	RIKEN cDNA 1700012J15 gene
1700012J22Rik	RIKEN cDNA 1700012J22 gene
1700012M20Rik	RIKEN cDNA 1700012M20 gene
1700012O15Rik	RIKEN cDNA 1700012O15 gene
1700012P22Rik	RIKEN cDNA 1700012P22 gene
1700013A02Rik	RIKEN cDNA 1700013A02 gene
1700013D24Rik	RIKEN cDNA 1700013D24 gene
1700013F07Rik	RIKEN cDNA 1700013F07 gene
1700013G24Rik	RIKEN cDNA 1700013G24 gene
1700013H16Rik	RIKEN cDNA 1700013H16 gene
1700013K18Rik	RIKEN cDNA 1700013K18 gene
1700013M08Rik	RIKEN cDNA 1700013M08 gene
1700013N06Rik	RIKEN cDNA 1700013N06 gene
1700014B07Rik	RIKEN cDNA 1700014B07 gene
1700014D04Rik	RIKEN cDNA 1700014D04 gene
1700014D06Rik	RIKEN cDNA 1700014D06 gene
1700014F14Rik	RIKEN cDNA 1700014F14 gene
1700014L14Rik	RIKEN cDNA 1700014L14 gene
1700015C15Rik	RIKEN cDNA 1700015C15 gene
1700015C17Rik	RIKEN cDNA 1700015C17 gene
1700015F17Rik	RIKEN cDNA 1700015F17 gene
1700015G11Rik	RIKEN cDNA 1700015G11 gene
1700015H07Rik	RIKEN cDNA 1700015H07 gene
1700015I17Rik	RIKEN cDNA 1700015I17 gene
1700015O03Rik	RIKEN cDNA 1700015O03 gene
1700015O11Rik	RIKEN cDNA 1700015O11 gene
1700015P03Rik	RIKEN cDNA 1700015P03 gene
1700016A09Rik	RIKEN cDNA 1700016A09 gene
1700016B01Rik	RIKEN cDNA 1700016B01 gene
1700016B15Rik	RIKEN cDNA 1700016B15 gene
1700016C15Rik	RIKEN cDNA 1700016C15 gene
1700016C19Rik	RIKEN cDNA 1700016C19 gene
1700016C23Rik	RIKEN cDNA 1700016C23 gene
1700016D02Rik	RIKEN cDNA 1700016D02 gene
1700016D06Rik	RIKEN cDNA 1700016D06 gene
1700016D08Rik	RIKEN cDNA 1700016D08 gene
1700016D18Rik	RIKEN cDNA 1700016D18 gene
1700016F12Rik	RIKEN cDNA 1700016F12 gene
1700016G14Rik	RIKEN cDNA 1700016G14 gene
1700016G22Rik	RIKEN cDNA 1700016G22 gene
1700016H03Rik	RIKEN cDNA 1700016H03 gene
1700016H13Rik	RIKEN cDNA 1700016H13 gene
1700016J18Rik	RIKEN cDNA 1700016J18 gene
1700016K05Rik	RIKEN cDNA 1700016K05 gene
1700016K19Rik	RIKEN cDNA 1700016K19 gene
1700016L04Rik	RIKEN cDNA 1700016L04 gene
1700016L15Rik	RIKEN cDNA 1700016L15 gene
1700016L21Rik	RIKEN cDNA 1700016L21 gene
1700016P03Rik	RIKEN cDNA 1700016P03 gene
1700016P04Rik	RIKEN cDNA 1700016P04 gene
1700016P22Rik	RIKEN cDNA 1700016P22 gene
1700017B05Rik	RIKEN cDNA 1700017B05 gene
1700017D01Rik	RIKEN cDNA 1700017D01 gene
1700017G19Rik	RIKEN cDNA 1700017G19 gene
1700017H01Rik	RIKEN cDNA 1700017H01 gene
1700017I07Rik	RIKEN cDNA 1700017I07 gene
1700017J07Rik	RIKEN cDNA 1700017J07 gene
1700017L05Rik	RIKEN cDNA 1700017L05 gene
1700017M07Rik	RIKEN cDNA 1700017M07 gene
1700017N19Rik	RIKEN cDNA 1700017N19 gene
1700018A04Rik	RIKEN cDNA 1700018A04 gene
1700018A14Rik	RIKEN cDNA 1700018A14 gene
1700018A23Rik	RIKEN cDNA 1700018A23 gene
1700018B08Rik	RIKEN cDNA 1700018B08 gene
1700018B24Rik	RIKEN cDNA 1700018B24 gene
1700018F24Rik	RIKEN cDNA 1700018F24 gene
1700018G05Rik	RIKEN cDNA 1700018G05 gene
1700018H16Rik	RIKEN cDNA 1700018H16 gene
1700018L02Rik	RIKEN cDNA 1700018L02 gene
1700018M17Rik	RIKEN cDNA 1700018M17 gene
1700018P08Rik	RIKEN cDNA 1700018P08 gene
1700018P22Rik	RIKEN cDNA 1700018P22 gene
1700019A02Rik	RIKEN cDNA 1700019A02 gene
1700019A23Rik	RIKEN cDNA 1700019A23 gene
1700019C18Rik	RIKEN cDNA 1700019C18 gene
1700019D03Rik	RIKEN cDNA 1700019D03 gene
1700019E08Rik	RIKEN cDNA 1700019E08 gene
1700019F05Rik	RIKEN cDNA 1700019F05 gene
1700019G24Rik	RIKEN cDNA 1700019G24 gene
1700019H22Rik	RIKEN cDNA 1700019H22 gene
1700019J19Rik	RIKEN cDNA 1700019J19 gene
1700019L13Rik	RIKEN cDNA 1700019L13 gene
1700019L22Rik	RIKEN cDNA 1700019L22 gene
1700019M22Rik	RIKEN cDNA 1700019M22 gene
1700019N19Rik	RIKEN cDNA 1700019N19 gene
1700019P21Rik	RIKEN cDNA 1700019P21 gene
1700020A23Rik	RIKEN cDNA 1700020A23 gene
1700020B03Rik	RIKEN cDNA 1700020B03 gene
1700020D05Rik	RIKEN cDNA 1700020D05 gene
1700020D12Rik	RIKEN cDNA 1700020D12 gene
1700020D14Rik	RIKEN cDNA 1700020D14 gene
1700020G03Rik	RIKEN cDNA 1700020G03 gene
1700020G17Rik	RIKEN cDNA 1700020G17 gene
1700020I14Rik	RIKEN cDNA 1700020I14 gene
1700020K04Rik	RIKEN cDNA 1700020K04 gene
1700020L05Rik	RIKEN cDNA 1700020L05 gene
1700020L24Rik	RIKEN cDNA 1700020L24 gene
1700020M10Rik	RIKEN cDNA 1700020M10 gene
1700020M21Rik	RIKEN cDNA 1700020M21 gene
1700020N01Rik	RIKEN cDNA 1700020N01 gene
1700020N15Rik	RIKEN cDNA 1700020N15 gene
1700020N18Rik	RIKEN cDNA 1700020N18 gene
1700021A07Rik	RIKEN cDNA 1700021A07 gene
1700021F02Rik	RIKEN cDNA 1700021F02 gene
1700021F05Rik	RIKEN cDNA 1700021F05 gene
1700021F07Rik	RIKEN cDNA 1700021F07 gene
1700021F13Rik	RIKEN cDNA 1700021F13 gene
1700021G15Rik	RIKEN cDNA 1700021G15 gene
1700021J08Rik	RIKEN cDNA 1700021J08 gene
1700021L22Rik	RIKEN cDNA 1700021L22 gene
1700021L23Rik	RIKEN cDNA 1700021L23 gene
1700021N20Rik	RIKEN cDNA 1700021N20 gene
1700021N21Rik	RIKEN cDNA 1700021N21 gene
1700021P04Rik	RIKEN cDNA 1700021P04 gene
1700022A21Rik	RIKEN cDNA 1700022A21 gene
1700022A22Rik	RIKEN cDNA 1700022A22 gene
1700022C07Rik	RIKEN cDNA 1700022C07 gene
1700022E09Rik	RIKEN cDNA 1700022E09 gene
1700022F17Rik	RIKEN cDNA 1700022F17 gene
1700022H01Rik	RIKEN cDNA 1700022H01 gene
1700022H16Rik	RIKEN cDNA 1700022H16 gene
1700022I11Rik	RIKEN cDNA 1700022I11 gene
1700022N22Rik	RIKEN cDNA 1700022N22 gene
1700023A20Rik	RIKEN cDNA 1700023A20 gene
1700023B13Rik	RIKEN cDNA 1700023B13 gene
1700023C21Rik	RIKEN cDNA 1700023C21 gene
1700023D08Rik	RIKEN cDNA 1700023D08 gene
1700023D09Rik	RIKEN cDNA 1700023D09 gene
1700023F02Rik	RIKEN cDNA 1700023F02 gene
1700023F06Rik	RIKEN cDNA 1700023F06 gene
1700023G08Rik	RIKEN cDNA 1700023G08 gene
1700023G09Rik	RIKEN cDNA 1700023G09 gene
1700023H06Rik	RIKEN cDNA 1700023H06 gene
1700024B05Rik	RIKEN cDNA 1700024B05 gene
1700024B18Rik	RIKEN cDNA 1700024B18 gene
1700024F13Rik	RIKEN cDNA 1700024F13 gene
1700024F20Rik	RIKEN cDNA 1700024F20 gene
1700024G13Rik	RIKEN cDNA 1700024G13 gene
1700024I08Rik	RIKEN cDNA 1700024I08 gene
1700024J04Rik	RIKEN cDNA 1700024J04 gene
1700024K11Rik	RIKEN cDNA 1700024K11 gene
1700024N05Rik	RIKEN cDNA 1700024N05 gene
1700024P04Rik	RIKEN cDNA 1700024P04 gene
1700024P12Rik	RIKEN cDNA 1700024P12 gene
1700025A08Rik	RIKEN cDNA 1700025A08 gene
1700025B11Rik	RIKEN cDNA 1700025B11 gene
1700025C18Rik	RIKEN cDNA 1700025C18 gene
1700025D23Rik	RIKEN cDNA 1700025D23 gene
1700025F22Rik	RIKEN cDNA 1700025F22 gene
1700025F24Rik	RIKEN cDNA 1700025F24 gene
1700025G04Rik	RIKEN cDNA 1700025G04 gene
1700025H01Rik	RIKEN cDNA 1700025H01 gene
1700025J12Rik	RIKEN cDNA 1700025J12 gene
1700025K04Rik	RIKEN cDNA 1700025K04 gene
1700025K24Rik	RIKEN cDNA 1700025K24 gene
1700025L06Rik	RIKEN cDNA 1700025L06 gene
1700025M24Rik	RIKEN cDNA 1700025M24 gene
1700025N21Rik	RIKEN cDNA 1700025N21 gene
1700025N23Rik	RIKEN cDNA 1700025N23 gene
1700025O08Rik	RIKEN cDNA 1700025O08 gene
1700025O18Rik	RIKEN cDNA 1700025O18 gene
1700026D11Rik	RIKEN cDNA 1700026D11 gene
1700026F02Rik	RIKEN cDNA 1700026F02 gene
1700026H06Rik	RIKEN cDNA 1700026H06 gene
1700026J12Rik	RIKEN cDNA 1700026J12 gene
1700026J14Rik	RIKEN cDNA 1700026J14 gene
1700026N04Rik	RIKEN cDNA 1700026N04 gene
1700027A07Rik	RIKEN cDNA 1700027A07 gene
1700027A13Rik	RIKEN cDNA 1700027A13 gene
1700027A15Rik	RIKEN cDNA 1700027A15 gene
1700027F06Rik	RIKEN cDNA 1700027F06 gene
1700027F09Rik	RIKEN cDNA 1700027F09 gene
1700027H10Rik	RIKEN cDNA 1700027H10 gene
1700027I24Rik	RIKEN cDNA 1700027I24 gene
1700027J07Rik	RIKEN cDNA 1700027J07 gene
1700027M17Rik	RIKEN cDNA 1700027M17 gene
1700028B04Rik	RIKEN cDNA 1700028B04 gene
1700028D13Rik	RIKEN cDNA 1700028D13 gene
1700028E10Rik	RIKEN cDNA 1700028E10 gene
1700028E11Rik	RIKEN cDNA 1700028E11 gene
1700028I16Rik	RIKEN cDNA 1700028I16 gene
1700028J19Rik	RIKEN cDNA 1700028J19 gene
1700028K03Rik	RIKEN cDNA 1700028K03 gene
1700028M03Rik	RIKEN cDNA 1700028M03 gene
1700028N14Rik	RIKEN cDNA 1700028N14 gene
1700028P14Rik	RIKEN cDNA 1700028P14 gene
1700028P15Rik	RIKEN cDNA 1700028P15 gene
1700029B22Rik	RIKEN cDNA 1700029B22 gene
1700029B24Rik	RIKEN cDNA 1700029B24 gene
1700029E06Rik	RIKEN cDNA 1700029E06 gene
1700029F12Rik	RIKEN cDNA 1700029F12 gene
1700029H14Rik	RIKEN cDNA 1700029H14 gene
1700029I15Rik	RIKEN cDNA 1700029I15 gene
1700029J03Rik	RIKEN cDNA 1700029J03 gene
1700029J07Rik	RIKEN cDNA 1700029J07 gene
1700029J08Rik	RIKEN cDNA 1700029J08 gene
1700029K24Rik	RIKEN cDNA 1700029K24 gene
1700029M03Rik	RIKEN cDNA 1700029M03 gene
1700029M20Rik	RIKEN cDNA 1700029M20 gene
1700029N11Rik	RIKEN cDNA 1700029N11 gene
1700029P11Rik	RIKEN cDNA 1700029P11 gene
